Company,Year,Issue,Description
SBILIFE,Mar 2015,Financial Sector,ROCE benchmark skipped
SBILIFE,Mar 2016,Financial Sector,ROCE benchmark skipped
SBILIFE,Mar 2017,Financial Sector,ROCE benchmark skipped
SBILIFE,Mar 2018,Financial Sector,ROCE benchmark skipped
SBILIFE,Mar 2019,Financial Sector,ROCE benchmark skipped
SBILIFE,Mar 2020,Financial Sector,ROCE benchmark skipped
SBILIFE,Mar 2021,Financial Sector,ROCE benchmark skipped
SBILIFE,Mar 2022,Financial Sector,ROCE benchmark skipped
SBILIFE,Mar 2023,Financial Sector,ROCE benchmark skipped
SBILIFE,Mar 2024,Financial Sector,ROCE benchmark skipped
SBILIFE,TTM,Financial Sector,ROCE benchmark skipped
SBIN,Mar 2013,Financial Sector,ROCE benchmark skipped
SBIN,Mar 2014,Financial Sector,ROCE benchmark skipped
SBIN,Mar 2015,Financial Sector,ROCE benchmark skipped
SBIN,Mar 2016,Financial Sector,ROCE benchmark skipped
SBIN,Mar 2017,Financial Sector,ROCE benchmark skipped
SBIN,Mar 2018,Financial Sector,ROCE benchmark skipped
SBIN,Mar 2019,Financial Sector,ROCE benchmark skipped
SBIN,Mar 2020,Financial Sector,ROCE benchmark skipped
SBIN,Mar 2021,Financial Sector,ROCE benchmark skipped
SBIN,Mar 2022,Financial Sector,ROCE benchmark skipped
SBIN,Mar 2023,Financial Sector,ROCE benchmark skipped
SBIN,Mar 2024,Financial Sector,ROCE benchmark skipped
SBIN,TTM,Financial Sector,ROCE benchmark skipped
SHRIRAMFIN,Mar 2013,Financial Sector,ROCE benchmark skipped
SHRIRAMFIN,Mar 2014,Financial Sector,ROCE benchmark skipped
SHRIRAMFIN,Mar 2015,Financial Sector,ROCE benchmark skipped
SHRIRAMFIN,Mar 2015,High Debt,Debt/Equity > 5
SHRIRAMFIN,Mar 2016,Financial Sector,ROCE benchmark skipped
SHRIRAMFIN,Mar 2017,Financial Sector,ROCE benchmark skipped
SHRIRAMFIN,Mar 2018,Financial Sector,ROCE benchmark skipped
SHRIRAMFIN,Mar 2018,High Debt,Debt/Equity > 5
SHRIRAMFIN,Mar 2019,Financial Sector,ROCE benchmark skipped
SHRIRAMFIN,Mar 2019,High Debt,Debt/Equity > 5
SHRIRAMFIN,Mar 2020,Financial Sector,ROCE benchmark skipped
SHRIRAMFIN,Mar 2020,High Debt,Debt/Equity > 5
SHRIRAMFIN,Mar 2021,Financial Sector,ROCE benchmark skipped
SHRIRAMFIN,Mar 2022,Financial Sector,ROCE benchmark skipped
SHRIRAMFIN,Mar 2023,Financial Sector,ROCE benchmark skipped
SHRIRAMFIN,Mar 2024,Financial Sector,ROCE benchmark skipped
SHRIRAMFIN,TTM,Financial Sector,ROCE benchmark skipped
TATACONSUM,Mar 2016,Negative ROE,ROE below zero
TATAMOTORS,Mar 2019,Negative ROE,ROE below zero
TATAMOTORS,Mar 2020,Negative ROE,ROE below zero
TATAMOTORS,Mar 2021,Negative ROE,ROE below zero
TATAMOTORS,Mar 2022,Negative ROE,ROE below zero
TATASTEEL,Mar 2013,Negative ROE,ROE below zero
TATASTEEL,Mar 2015,Negative ROE,ROE below zero
TATASTEEL,Mar 2016,Negative ROE,ROE below zero
TATASTEEL,Mar 2017,Negative ROE,ROE below zero
TATASTEEL,Mar 2024,Negative ROE,ROE below zero
TRENT,Mar 2013,Negative ROE,ROE below zero
TRENT,Mar 2014,Negative ROE,ROE below zero
TRENT,Mar 2021,Negative ROE,ROE below zero
UNIONBANK,Mar 2013,High Debt,Debt/Equity > 5
UNIONBANK,Mar 2014,High Debt,Debt/Equity > 5
UNIONBANK,Mar 2015,High Debt,Debt/Equity > 5
UNIONBANK,Mar 2016,High Debt,Debt/Equity > 5
UNIONBANK,Mar 2017,High Debt,Debt/Equity > 5
UNIONBANK,Mar 2018,High Debt,Debt/Equity > 5
UNIONBANK,Mar 2018,Negative ROE,ROE below zero
UNIONBANK,Mar 2019,High Debt,Debt/Equity > 5
UNIONBANK,Mar 2019,Negative ROE,ROE below zero
UNIONBANK,Mar 2020,High Debt,Debt/Equity > 5
UNIONBANK,Mar 2020,Negative ROE,ROE below zero
UNIONBANK,Mar 2021,High Debt,Debt/Equity > 5
UNIONBANK,Mar 2022,High Debt,Debt/Equity > 5
UNIONBANK,Mar 2023,High Debt,Debt/Equity > 5
UNIONBANK,Mar 2024,High Debt,Debt/Equity > 5
INDIGO,Mar 2020,Negative ROE,ROE below zero
INDIGO,Mar 2021,Negative ROE,ROE below zero
INDIGO,Mar 2022,Negative ROE,ROE below zero
INDIGO,Mar 2023,Negative ROE,ROE below zero
